t_wall,t_rel,Fx,Fy,Fz,Mx,My,Mz
1771001632.122081,0.002601,-1.048287,-1.719213,1.025817,0.022798,-0.008877,0.005443
1771001632.126663,0.007184,0.305201,0.138705,-0.449680,-0.003974,0.002354,-0.000322
1771001632.131623,0.012144,-0.506288,0.531634,-0.254029,-0.005514,-0.006279,0.001807
1771001632.136609,0.017130,0.318465,0.287955,-0.446892,-0.005001,0.002221,-0.000381
1771001632.141589,0.022110,0.293485,0.063561,-0.526731,-0.003309,0.001425,-0.000435
1771001632.146555,0.027076,0.304125,0.235536,-0.341411,-0.004768,0.002201,-0.000750
1771001632.151567,0.032088,0.271208,0.341093,-0.369099,-0.005431,0.002214,-0.000902
1771001632.156536,0.037057,0.271847,0.243404,-0.381661,-0.004500,0.002257,-0.000984
1771001632.161517,0.042038,0.276337,0.233400,-0.324092,-0.004737,0.001942,-0.000760
1771001632.166557,0.047078,0.765753,-1.245878,0.720069,0.020027,-0.002888,0.005609
1771001632.171495,0.052016,-0.977693,-1.557177,1.022961,0.021859,-0.008427,0.004726
1771001632.176451,0.056972,-0.367977,-0.745183,1.445472,0.022616,0.013105,0.018890
1771001632.181448,0.061969,-0.979282,-1.515598,1.050496,0.021617,-0.008374,0.004635
1771001632.186437,0.066957,-0.986907,-1.486150,1.047047,0.021420,-0.008487,0.004502
1771001632.191400,0.071921,-0.932081,-1.351180,1.085407,0.020519,-0.007795,0.005293
1771001632.196400,0.076921,-0.989125,-1.527703,1.010200,0.021508,-0.008692,0.004208
1771001632.201388,0.081909,-0.960208,-1.433892,1.091889,0.021015,-0.008452,0.004634
1771001632.206371,0.086892,-1.016972,-1.776421,0.974540,0.023305,-0.009240,0.004836
1771001632.211343,0.091863,-0.979698,-1.466014,1.072130,0.021284,-0.008346,0.005092
1771001632.216321,0.096842,-0.941264,-1.321063,1.130480,0.020213,-0.007539,0.005213
1771001632.221316,0.101837,-1.015540,-1.752865,0.989118,0.023079,-0.009249,0.004485
1771001632.226293,0.106814,-1.011145,-1.701734,1.018332,0.022653,-0.009117,0.004757
1771001632.231267,0.111788,-0.944381,-1.408979,1.094086,0.020761,-0.007993,0.005059
1771001632.236257,0.116778,-0.974571,-1.490636,1.075515,0.021710,-0.007945,0.005110
1771001632.241235,0.121756,-0.984741,-1.556985,1.020032,0.021870,-0.008372,0.004551
1771001632.246218,0.126739,-0.984916,-1.637046,1.038501,0.022079,-0.008564,0.005209
1771001632.251203,0.131723,-0.936403,-1.426888,1.100737,0.020781,-0.008359,0.005012
1771001632.256198,0.136719,-0.993318,-1.594554,1.054008,0.022135,-0.008820,0.004590
1771001632.261170,0.141691,-0.970060,-1.506339,1.074852,0.021363,-0.008582,0.004478
1771001632.266155,0.146676,-0.954811,-1.587457,1.061128,0.021888,-0.008254,0.005419
1771001632.271145,0.151665,-0.951486,-1.550638,1.050181,0.021787,-0.008362,0.005125
1771001632.276119,0.156640,-0.942710,-1.526904,1.071904,0.021584,-0.008229,0.005316
1771001632.281109,0.161629,-0.972842,-1.454170,1.084222,0.020994,-0.008363,0.005480
1771001632.286093,0.166614,-0.958602,-1.465442,1.076629,0.021150,-0.008125,0.005429
1771001632.291298,0.171819,-0.955250,-1.453403,1.097560,0.020878,-0.007989,0.005160
1771001632.296064,0.176585,-0.984615,-1.593193,1.045516,0.022073,-0.008644,0.005145
1771001632.301036,0.181557,-1.008994,-1.552857,1.043799,0.021729,-0.008788,0.004645
1771001632.306011,0.186532,-0.922561,-1.505949,1.053975,0.021416,-0.008251,0.004910
1771001632.310993,0.191514,-0.969808,-1.516311,1.070741,0.021363,-0.008289,0.004907
1771001632.315972,0.196493,-0.965816,-1.568989,1.058591,0.021810,-0.008679,0.004930
1771001632.320958,0.201479,-1.028274,-1.694302,1.004578,0.022578,-0.008919,0.005175
1771001632.325939,0.206460,-0.972036,-1.576035,1.050892,0.021996,-0.008531,0.004960
1771001632.330916,0.211437,-0.963670,-1.475055,1.084746,0.021129,-0.008390,0.005349
1771001632.335899,0.216420,-0.961918,-1.629550,1.016043,0.022092,-0.008662,0.004665
1771001632.340883,0.221404,-0.929236,-1.490681,1.067548,0.021252,-0.008128,0.005398
1771001632.345880,0.226401,-0.941258,-1.590142,1.043964,0.022247,-0.008231,0.005245
1771001632.350859,0.231380,-0.997116,-1.555464,1.044593,0.021692,-0.008086,0.005147
1771001632.355832,0.236353,-0.975826,-1.566259,1.053541,0.021848,-0.008362,0.005062
1771001632.360813,0.241334,-0.951187,-1.646465,1.039231,0.022346,-0.008560,0.004943
1771001632.365809,0.246330,-0.967691,-1.592703,1.044566,0.021927,-0.008913,0.004579
1771001632.370774,0.251295,-0.976992,-1.562730,1.053200,0.021534,-0.008839,0.004814
1771001632.375764,0.256285,-0.943715,-1.506840,1.076432,0.021357,-0.008306,0.005170
1771001632.380747,0.261268,-0.957635,-1.579094,1.055599,0.021896,-0.008571,0.005447
1771001632.385726,0.266247,-0.369730,-0.761122,1.436071,0.022892,0.013476,0.018843
